,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
3380,-0.258,-0.181,0.959,5.554,8.3,16.479,0,0,0,0,15.831,-13.677
3400,-0.296,-0.179,0.954,8.056,4.394,12.023,0,0,0,0,16.138,-13.271
3420,-0.296,-0.179,0.954,8.056,4.394,12.023,0,0,0,0,16.259,-13.084
3440,-0.276,-0.171,0.964,0,2.014,9.643,0,0,0,0,16.32,-13.018
3460,-0.252,-0.205,0.955,-1.098,1.647,15.014,0,0,0,0,16.364,-12.974
3480,-0.291,-0.187,0.958,3.234,1.342,16.052,0,0,0,0,16.446,-12.875
3500,-0.279,-0.177,0.95,-3.906,-0.061,10.253,0,0,0,0,16.567,-12.738
3520,-0.274,-0.186,0.958,3.723,0.061,14.587,0,0,0,0,16.622,-12.557
3540,-0.266,-0.179,0.955,-4.272,-1.098,6.713,0,0,0,0,16.622,-12.562
3560,-0.27,-0.18,0.967,-1.892,-0.671,7.141,0,0,0,0,16.627,-12.557
3580,-0.266,-0.174,0.958,-5.798,-1.403,4.394,0,0,0,0,16.622,-12.557
3600,-0.272,-0.187,0.963,0.671,-0.305,3.356,0,0,0,0,16.589,-12.601
3620,-0.273,-0.185,0.96,2.258,0.061,3.112,0,0,0,0,16.589,-12.568
3640,-0.273,-0.185,0.96,2.258,0.061,3.112,0,0,0,0,16.594,-12.524
3660,-0.273,-0.185,0.96,2.258,0.061,3.112,0,0,0,0,16.594,-12.502
3680,-0.277,-0.181,0.957,4.333,-0.61,1.892,0,0,0,0,16.594,-12.442
3700,-0.277,-0.181,0.957,4.333,-0.61,1.892,0,0,0,0,16.589,-12.414
3720,-0.274,-0.176,0.962,-1.098,-3.173,-0.122,0,0,0,0,16.539,-12.282
3740,-0.27,-0.182,0.962,-0.915,-0.976,-0.427,0,0,0,0,16.402,-12.299
3760,-0.267,-0.184,0.958,-1.647,-1.159,-0.854,0,0,0,0,16.369,-12.315
3780,-0.273,-0.182,0.962,-0.427,-0.793,-1.831,0,0,0,0,16.336,-12.315
3800,-0.28,-0.183,0.964,-1.831,-1.464,-1.281,0,0,0,0,16.331,-12.321
3820,-0.281,-0.177,0.964,-2.38,-0.427,-0.61,0,0,0,0,16.292,-12.359
